epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,452.088,1.63835,1.55613,1.61104,0.83698,0.61125,0.69358,0.40117,1.53941,1.28951,1.56417,0.00333234,0.00333234,0.070009
2,879.919,1.49775,1.23763,1.51058,0.85275,0.65427,0.74375,0.45282,1.42423,1.07186,1.45021,0.00600577,0.00600577,0.0393491
3,1306.7,1.4219,1.11088,1.44513,0.8695,0.68467,0.77226,0.47876,1.37836,1.00999,1.39939,0.0080192,0.0080192,0.00802916
4,1735.97,1.36425,1.016,1.3991,0.86971,0.71895,0.80115,0.49413,1.33453,0.89866,1.3589,0.00703,0.00703,0.00703
5,2164.29,1.33233,0.94629,1.37073,0.86996,0.73439,0.81666,0.51984,1.30831,0.8393,1.34216,0.00604,0.00604,0.00604
6,2592.52,1.29887,0.89007,1.34426,0.8777,0.74015,0.82106,0.51946,1.28741,0.81381,1.33275,0.00505,0.00505,0.00505
7,3020.65,1.27143,0.84133,1.31982,0.87987,0.75721,0.83346,0.5363,1.25737,0.75714,1.30031,0.00406,0.00406,0.00406
8,3448.93,1.24884,0.79647,1.30298,0.86864,0.77498,0.83792,0.53336,1.25914,0.73951,1.30098,0.00307,0.00307,0.00307
9,3876.95,1.22273,0.75247,1.27909,0.88482,0.77592,0.85081,0.55204,1.24144,0.6955,1.2779,0.00208,0.00208,0.00208
10,4305.94,1.19764,0.71566,1.26365,0.87864,0.79379,0.8568,0.5592,1.21555,0.66874,1.25411,0.00109,0.00109,0.00109
